sdc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
105944,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
108107,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
112245,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P
124572,A,P,P,P,P,P,P,P,P,P,P,P,A,A,A,A,A,A,A,A,A,A
163236,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
164459,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
172394,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P
189923,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
192582,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,A,A,P,A,A
194271,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A
195689,A,A,P,P,P,P,A,A,A,A,P,A,P,A,A,A,A,P,A,P,A,A
198678,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
219113,P,A,P,A,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,P,A,A
222049,A,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P
261643,P,P,P,A,P,P,A,A,P,P,P,P,P,A,P,A,A,P,P,P,A,A
266774,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
272629,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P
282651,A,P,P,P,P,P,A,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P
283284,P,P,P,A,A,P,P,A,P,A,A,A,A,A,A,P,P,P,A,A,A,A
331323,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P
345597,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P
352356,A,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,P,A,P,P,A
359668,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
362397,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P
364332,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,A,P,A,P,A
376524,A,A,P,P,A,P,A,A,A,A,A,A,P,A,A,P,A,P,A,P,P,A
385936,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,P,P,P,P,P
386275,A,A,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
395837,A,A,P,P,P,P,A,A,P,P,P,A,P,A,P,A,A,P,A,A,A,A
403690,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
405104,P,P,P,P,P,P,A,A,A,P,P,P,A,P,P,P,P,P,P,P,P,P
424826,A,A,A,P,P,P,P,P,P,P,A,P,A,A,P,P,A,P,P,P,P,P
429699,A,P,P,A,A,A,A,A,P,A,A,A,A,A,P,A,A,A,A,A,A,A
459222,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P
468284,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
495481,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
