sdc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
105944,NA,16,12,12,12,8,12,16,16,16,8,12,12,12,NA,16,12,15,0
108107,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
112245,4,16,8,16,12,4,16,16,12,16,4,12,12,0,16,16,8,17,0
124572,8,16,16,16,12,12,4,8,12,12,NA,NA,NA,NA,NA,NA,NA,10,0
163236,8,8,12,8,4,12,0,8,16,16,8,12,8,4,12,12,12,17,0
164459,NA,16,16,16,12,12,12,16,12,16,12,16,12,16,16,12,16,16,0
172394,8,8,12,12,8,12,NA,NA,12,16,16,16,16,12,12,12,4,15,0
189923,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
192582,16,16,NA,16,12,12,8,4,16,8,NA,16,NA,NA,NA,12,NA,11,0
194271,NA,16,16,16,12,4,8,16,8,8,NA,12,8,16,8,12,4,15,0
195689,12,8,12,4,8,NA,4,12,16,16,8,4,4,12,8,8,12,16,0
198678,NA,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
219113,12,16,12,16,NA,16,16,NA,12,16,NA,12,12,12,16,12,0,14,0
222049,8,12,12,12,12,4,12,16,12,16,8,8,4,8,12,8,8,17,0
261643,16,16,16,16,12,NA,8,12,8,12,12,8,NA,16,12,16,NA,14,0
266774,4,16,12,12,8,8,4,16,12,16,12,12,8,8,8,16,12,17,0
272629,NA,16,16,16,12,NA,12,16,16,16,12,16,12,NA,4,16,8,14,0
282651,16,16,12,16,8,4,12,NA,12,12,16,0,12,8,12,8,16,16,0
283284,12,8,NA,8,8,12,12,NA,NA,NA,NA,NA,0,4,12,NA,NA,9,0
331323,16,16,NA,16,4,16,12,12,12,16,12,NA,8,NA,12,NA,16,13,0
345597,12,16,12,12,8,12,8,4,12,16,NA,8,8,12,8,8,12,16,0
352356,NA,16,16,4,8,16,NA,NA,16,16,8,16,16,16,16,12,16,14,0
359668,0,16,16,8,8,8,16,8,16,16,8,12,8,0,16,8,8,17,0
362397,12,16,16,12,8,12,12,16,16,16,16,16,16,16,16,16,16,17,0
364332,NA,16,8,12,0,4,16,NA,8,12,8,8,NA,16,NA,NA,8,12,0
376524,16,NA,16,NA,4,NA,NA,NA,NA,NA,12,NA,12,NA,16,16,0,8,0
385936,0,12,4,12,12,12,8,16,16,NA,16,NA,16,NA,16,16,16,14,0
386275,12,NA,8,16,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
395837,4,NA,4,8,4,NA,4,8,NA,NA,4,4,NA,NA,4,NA,NA,9,0
403690,8,12,16,16,12,8,8,16,16,16,12,16,16,8,8,12,8,17,0
405104,12,16,12,8,12,NA,16,16,12,12,16,8,12,12,12,12,12,16,0
424826,NA,NA,12,12,8,0,4,12,4,12,NA,4,8,NA,8,4,12,13,0
429699,4,0,NA,0,NA,4,4,0,NA,NA,NA,NA,4,0,NA,4,NA,9,0
459222,12,12,16,12,8,8,8,16,12,12,0,16,12,8,4,16,12,17,0
468284,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
495481,12,16,16,16,12,8,12,16,16,16,12,16,8,12,12,16,8,17,0
511857,12,8,16,4,8,8,16,12,16,16,8,0,8,8,16,16,12,17,0
546842,12,16,12,8,12,8,12,8,8,8,12,4,8,NA,8,4,NA,15,0
552055,8,16,12,4,8,16,8,8,12,4,16,16,8,NA,NA,NA,0,14,0
557016,4,16,12,8,8,4,NA,12,8,12,4,4,4,0,12,8,NA,15,0
568625,16,16,12,NA,12,12,12,16,12,16,16,12,16,16,12,NA,16,15,0
570359,NA,16,12,16,12,NA,12,16,12,16,12,8,16,NA,4,16,16,14,0
584298,16,16,16,16,12,16,12,12,16,16,12,16,16,16,16,16,16,17,0
584763,16,16,8,8,12,12,8,NA,12,16,12,12,4,NA,16,12,16,15,0
594259,12,16,12,16,12,8,8,16,16,16,12,16,12,NA,12,12,8,16,0
623430,16,16,12,NA,NA,12,4,16,16,16,NA,12,8,4,12,NA,12,13,0
630294,16,16,NA,12,12,4,12,16,16,16,16,12,8,12,16,16,12,16,0
663203,NA,NA,8,NA,4,NA,NA,16,12,8,8,12,NA,NA,12,NA,NA,8,0
664566,4,16,16,16,12,12,16,NA,16,16,NA,16,16,16,16,16,16,15,0
673433,16,16,16,16,NA,4,NA,16,12,8,0,16,8,16,NA,16,16,14,0
726975,12,16,16,16,12,12,12,12,16,12,NA,NA,12,16,16,12,16,15,0
791628,4,16,12,12,8,12,0,NA,12,16,16,12,16,NA,16,0,NA,14,0
796322,4,16,16,16,4,8,12,12,16,16,12,16,16,16,12,16,12,17,0
801317,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,NA,4,NA,NA,8,NA,4,0
827691,12,16,12,16,12,12,16,16,16,16,4,8,12,12,16,12,16,17,0
848407,12,16,16,16,8,16,16,16,16,16,16,16,16,16,16,16,16,17,0
856905,4,16,12,16,12,8,12,NA,NA,NA,16,16,8,16,16,16,16,14,0
871482,NA,NA,8,8,4,NA,NA,12,16,NA,NA,4,NA,8,16,0,4,10,0
888435,12,12,12,12,12,12,16,16,16,16,16,16,8,16,12,NA,NA,15,0
908156,8,12,12,12,4,4,16,12,8,12,NA,12,12,4,12,8,16,16,0
938573,NA,16,12,8,8,NA,12,16,16,8,12,8,12,8,12,12,16,15,0
951914,8,NA,NA,NA,8,8,12,NA,NA,12,8,12,NA,16,NA,16,NA,9,0
967295,8,16,16,16,12,8,12,16,8,16,8,16,NA,12,16,16,16,16,0
973545,16,12,16,16,8,12,8,16,16,4,12,16,16,12,16,16,16,17,0
975707,8,16,12,16,NA,12,NA,16,12,16,NA,4,12,0,8,8,8,14,0
984446,12,NA,16,8,8,NA,0,8,NA,16,16,12,16,12,16,12,NA,13,0
986325,NA,16,16,16,8,8,12,16,8,16,16,8,8,12,16,16,8,16,0
999723,8,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
