ast,sdc,mark
aftj,544648,70.00
aftj,493108,66.00
aftj,562825,85.00
aftj,158944,80.00
aftj,573207,70.00
aftj,371223,68.00
aftj,436680,60.00
aftj,930798,62.00
aftj,273575,85.00
aftj,780300,80.00
aftj,134688,62.00
aftj,338368,60.00
aftj,463227,0
aftj,630282,70.00
aftj,808860,86.00
aftj,229929,65.00
aftj,896090,86.00
aftj,598268,79.00
aftj,455606,85.00
aftj,627640,62.00
aftj,465581,66.00
aftj,602868,68.00
aftj,678996,62.00
aftj,290746,62.00
aftj,557431,86.00
aftj,434276,68.00
aftj,609770,68.00
aftj,559164,60.00
aftj,985341,66.00
aftj,562377,54.00
aftj,587273,69.00
aftj,650411,85.00
aftj,828249,68.00
aftj,465921,55.00
aftj,372850,78.00
aftj,561448,78.00
aftj,444660,66.00
aftj,508193,86.00
aftj,336564,58.00
aftj,325237,80.00
aftj,801861,85.00
aftj,190975,80.00
aftj,128056,66.00
aftj,207419,0
aftj,294113,80.00
aftj,617195,58.00
aftj,630094,68.00
aftj,749394,82.00
aftj,411804,68.00
aftj,562248,58.00
aftj,790087,86.00
aftj,463502,82.00
aftj,939896,86.00
aftj,974870,85.00
aftj,313584,68.00
aftj,118717,80.00
aftj,477847,68.00
aftj,867373,80.00
aftj,612420,80.00
aftj,857630,68.00
aftj,286557,80.00
aftj,430803,58.00
aftj,925738,0
aftj,648748,80.00
aftj,564108,74.00
aftj,876088,86.00
aftj,610744,0
aftj,842469,80.00
cmbu,466691,53
cmbu,172631,78
cmbu,951965,75
cmbu,315114,0
cmbu,185085,68
cmbu,156945,74
cmbu,830804,78
cmbu,961981,0
cmbu,892732,72
cmbu,566291,74
cmbu,983223,66
cmbu,452620,70
cmbu,953999,78
cmbu,984612,0
cmbu,693920,0
cmbu,331613,62
cmbu,246870,78
cmbu,130401,78
cmbu,949933,0
cmbu,827644,0
cmbu,556099,72
cmbu,276992,0
cmbu,773600,54
cmbu,228079,0
cmbu,411094,76
cmbu,882265,0
cmbu,644453,74
cmbu,331496,0
cmbu,478273,74
cmbu,116096,77
cmbu,139792,55
cmbu,373375,58
cmbu,367948,-35
cmbu,594660,0
cmbu,816481,70
cmbu,423136,0
cmbu,535624,0
cmbu,744029,0
cmbu,573432,0
cmbu,677167,84
cmbu,698499,72
cmbu,768442,0
cmbu,370819,72
cmbu,355979,78
cmbu,449058,0
cmbu,491708,60
cmbu,211587,56
cmbu,149521,0
cmbu,345995,86
cmbu,762232,80
cmbu,257334,53
cmbu,450041,43
cmbu,512410,0
cmbu,308131,73
cmbu,559932,78
cmbu,723664,74
cmbu,804534,70
cmbu,862167,0
cmbu,199655,82
cmbu,712422,72
cmbu,419781,75
cmbu,221151,0
cmbu,257376,74
cmbu,693901,78
cmbu,724477,72
cmbu,131725,0
cmbu,656197,76
cmbu,215743,76
cmbu,727858,74
cmbu,225755,60
cmbu,215162,74
cmbu,874335,66
cmbu,671403,85
cmbu,980166,70
cmbu,469385,0
cmbu,606148,69
cmbu,993688,0
cmbu,660065,0
cmbu,304460,72
cmbu,718775,0
cmbu,663816,69
cmbu,564136,0
cmbu,165785,0
cmbu,396093,0
cmbu,257127,0
cmbu,360107,65
cmbu,712104,0
cmbu,705041,0
cmbu,875418,53
cmbu,750263,55
cmbu,428897,74
zerg,848425,73
zerg,415504,60
zerg,203918,66
zerg,329213,65
zerg,473479,58
zerg,771636,67
zerg,631475,64
zerg,551800,85
zerg,608410,60
zerg,462369,72
zerg,193155,58
zerg,156435,65
zerg,997272,74
zerg,814850,76
zerg,688467,70
zerg,149041,62
zerg,309084,86
zerg,546458,74
zerg,567109,78
zerg,857466,62
zerg,504881,58
zerg,369266,75
zerg,490458,58
zerg,699915,70
zerg,981504,73
zerg,422145,64
zerg,661011,75
zerg,975619,61
zerg,401751,52
zerg,905397,20
zerg,699352,65
zerg,242322,50
zerg,554789,46
zerg,810150,58
zerg,528850,62
zerg,811896,50
