date,amt,desc
2020-10-01,-50000,original loan
2021-05-15,652,presents
2021-05-15,9348,repayment
2021-08-14,868.29,hohmann deposit
2021-09-14,1365.28,hohmann september rent
2021-10-05,900.77,hohmann october rent
2021-11-03,1796.18,hohmann october rent
2021-10-06,89.54,Josephine Shein clothing
2021-10-01,110.37,Sherry dinner at Cactus Club
2021-12-25,116.94,Sherry Christmas presents
2021-12-25,117.45,Stefan Christmas presents
2021-12-25,32.24,Anderson Christmas presents
2021-12-25,72.36,Evelyn Christmas presents
2021-12-25,91.76,Josephine Christmas presents
2022-02-22,35.23,Anderson bday present
2022-03-20,36.24,Evelyn bday present
2022-04-18,65.25,Stefan bday present
2022-08-08,3000.00,repayment via Rainer
2022-08-11,100.00,Valya cash payment
2022-08-19,179.01,Josephine bday present
2022-09-09,75.99,Sherry bday present
2022-12-25,104.99,Sherry Christmas presents
2022-12-25,70.69,Stefan Christmas presents
2022-12-25,154.34,Anderson Christmas presents
2022-12-25,69.01,Evelyn Christmas presents
2022-12-25,64.97,Josephine Christmas presents
