sno,shortmc,essay,rank
90800723,8.5,7,5
64515224,14,7,5
80361595,9.5,7.5,5
58250242,12,8,5
38056545,12.5,7.5,5
93512051,13.5,7,5
16669798,12.5,8,5
89651301,9,7.5,5
57341653,7.5,7,5
75938738,11.5,6.5,5
27247584,9,6,5
63895122,14,7,5
85859965,7.5,6,5
76670553,8.5,7.5,5
28697696,8,7,5
71161244,13.5,8.5,0
64319171,8.5,6.5,5
19630607,14,9,5
32489783,14,8.5,5
92118637,8.5,7.5,5
17764044,11,8.5,5
89437172,14,8.5,5
42623306,6.5,7,5
45799822,13.5,8.5,5
61025128,11,7.5,5
54302633,12.5,7.5,5
29667375,9,8.5,5
89575328,5,7.5,5
79966370,12.5,8,5
53049334,9.5,8,5
55044978,8.5,7.5,5
29724200,11.5,6,5
19171586,12.5,7.75,5
68490911,6.5,6,5
79488672,8.5,6.5,5
93595957,13.5,7.5,5
92182427,13,8,5
28962579,14,8.5,5
36387595,4.5,7.5,5
60437134,10.5,7.5,5
26788919,13.5,8,5
52223641,12,7,5
15458573,12,8.5,5
38417994,12,8.5,5
21961552,9,6.5,5

