bid,month,rid,amt,comment
i67,511,1024,1175,
i49,511,1024,-1175,
y04,511,1024,1175,
v10,511,1024,-1175,
i67,574,1036,1487.50,
i49,574,1036,-1487.50,
y04,574,1036,1487.50,
v10,574,1036,-1487.50,
i67,588,1040,1997.50,
i49,588,1040,-1997.50,
i67,574,1037,1245,
i49,574,1037,-1245,
y04,574,1037,1245,
v10,574,1037,-1245,
l68,598,1037,2527.20,
l68,598,1040,3995,
l68,598,1036,2975,
p33,598,1036,50,
l68,598,1024,2385.25,
t00,598,1040,63.58,
t00,598,1036,47.58,
t00,598,1037,39.83,
a15,598,1024,290.21,
a15,598,1037,54.89,
a15,598,1040,62.78,
a15,598,1036,101.17,
f94,598,1040,173.64,
f94,598,1036,154.52,
f94,598,1037,149.56,
t00,599,1040,63.58,
t00,599,1036,47.58,
t00,599,1037,39.83,
x83,599,1024,-675.46,
x83,599,1040,-2000,
x83,599,1040,-2295,
x83,599,1036,-353.27,
x83,599,1037,-2771.48,
x83,599,1024,-1000,
x83,599,1024,-1000,
x83,599,1036,-2975,
x30,599,1037,-364.60,
f94,599,1024,100.32,
a15,599,1024,182.63,
a15,599,1037,39.37,
a15,599,1040,45.58,
a15,599,1036,134.37,
l68,599,1037,2527.20,
l68,599,1040,3995,
l68,599,1036,2975,
p33,599,1036,50,
l68,599,1024,2385.25,
x83,600,1040,-2000,
x83,600,1040,-2040.58,
x83,600,1037,-2201.97,
x83,600,1024,-668.20,
x83,600,1036,-2975,
x83,600,1024,-2000,
x83,600,1036,-184.37,
f94,600,1037,130.84,
f94,600,1036,122.04,
f94,600,1040,239.02,
a15,600,1024,201.32,
a15,600,1037,42.47,
a15,600,1040,50.27,
a15,600,1036,137.47,
t00,600,1040,58.10,
t00,600,1036,43.49,
t00,600,1037,36.40,
l68,600,1037,2577.74,
l68,600,1040,3995,
l68,600,1036,2975,
p33,600,1036,50,
l68,600,1024,2385.25,
x83,601,1040,-2000,
x83,601,1040,-2392.49,
x83,601,1024,-1000,
x83,601,1024,-1000,
x83,601,1024,-586.57,
x83,601,1037,-2827.28,
x83,601,1036,-400.58,
x83,601,1036,-2975,
f94,601,1024,89.30,
a15,601,1024,161.95,
l68,601,1037,2577.74,
l68,601,1040,4074.90,
l68,601,1036,3034.50,
l68,601,1024,2385.25,
a15,601,1036,93.03,
a15,601,1037,40.48,
a15,601,1040,46.65,
t00,601,1040,58.10,
t00,601,1036,43.49,
t00,601,1037,36.40,
p33,601,1036,50,
