syear,winner,country,artist,title,comment
1982,1,GBR,John Lennon,Woman,
1983,1,FRA,Joe Dassin,Champs Elysees,
1984,1,GBR,Cat Stevens,Morning Has Broken,
1985,1,USA,John Denver,Take Me Home,
1986,1,GBR,Beatles,The Long and Winding Road,
1987,1,AUT,STS,Grossvata,
1988,1,USA,Kenny Rogers and Sheena Easton,Weve Got Tonight,
1989,1,BRD,Reinhard Mey,Alles ist gut,
1990,1,AUT,Ludwig Hirsch,Komm grosser schwarzer Vogel,
1991,1,USA,Arlo Guthrie,Last to Leave,
1992,1,USA,Paul Simon and Art Garfunkel,American Tune,
1993,1,USA,Billy Joel,Miami 2017,
1994,1,GBR,Elton John,Mona Lisas and Mad Hatters,
1995,1,USA,Tom Waits,Tom Trauberts Blues,
1996,1,CAN,Rankin Family,Come All You Fair and Tender Ladies,
1997,1,GBR,Elton John,Your Song,
1998,1,USA,Chicago,Youre the Inspiration,
1999,1,USA,Rich Mullins,Hold Me Jesus,
2000,1,USA,Billy Joel,Why Judy Why,
2001,1,USA,The Beach Boys,Only With You,
2002,1,USA,Randy Newman,I Miss You,
2003,1,USA,Billy Joel,You Are Always a Woman to Me,
2004,1,BRD,Reinhard Mey,Das kleine Mädchen,
2005,1,GBR,Peter Gabriel,Grieve,
2006,1,USA,Regina Spektor,Samson,
2007,1,FRO,Teitur,Josephine,
2008,1,USA,Ingrid Graudins,Barges,
2009,1,USA,Brett Dennen,Aint No Reason,
2010,1,USA,Eva Cassidy,Fields of Gold,
2011,1,GBR,Penguin Cafe,Coriolis,
2012,1,FRO,Lena Anderssen,Left With Myself,
2013,1,USA,Bob Dylan,All Along the Watchtower,
2014,1,USA,Eminem,25 to Life,
2015,1,USA,John Mayer,Who Says,
2016,1,USA,Kacey Musgraves,Keep It to Yourself,
2017,1,CAN,Leonard Cohen,Alexandra Leaving,
2018,1,BRD,Herbert Grönemeyer,Leb in meiner Welt,
2019,1,USA,Sting,I Love Her But She Loves Someone Else,
2020,1,ITA,Claudio Baglioni,Avrai,
2021,1,BRD,Annett Louisan,Zweites erstes Mal,
2022,1,CAN,Leif Vollebekk,Rest,
1990,0,BRD,Dietrich Bonhoeffer,Von guten Mächten wunderbar geborgen,
1992,0,USA,Simon and Garfunkel,Bleecker Street,
1994,0,BRD,Herbert Grönemeyer,Ich dreh mich um dich,
2001,0,USA,James Taylor,The Water Is Wide,
2011,0,BRD,Reinhard Mey,Wir,
2013,0,BRD,Herbert Grönemeyer,Flugzeuge im Bauch,
2013,0,USA,Josh Garrels,Slip Away,
2013,0,CAN,Gordon Lightfoot,If You Could Read My Mind,
2013,0,USA,Miley Cyrus,Wrecking Ball,
2013,0,USA,Billy Joel,And So It Goes,
2014,0,USA,John Mayer,Walt Graces Submarine Test,
2014,0,USA,Nickelcreek,21st of May,
2015,0,GBR,Passenger,Let Her Go,
2016,0,USA,A Great Big World,Say Something,
2016,0,FRA,Franck Angelis,Romance,
2016,0,NOR,Ole Paus,Det begynner a bli et liv,
2016,0,USA,Natalie Merchant,Motherland,
2016,0,USA,Beirut,Elephant Gun,
2016,0,USA,Ricky Skaggs,Mandolin Rain,
2016,0,USA,Antje Duvekot,Long Way,
2016,0,ARG,Astor Piazzolla,Tanti anni prima,
2017,0,USA,Vienna Teng,Blue Caravan,
2017,0,NLD,Mr. Probz,Nothing Really Matters,
2017,0,USA,Owl City,This Isnt the End,
2017,0,BRD,Konstantin Wecker,Schlendern,
2017,0,AUS,Ben Abraham,She,
2017,0,USA,Jon McLaughlin,You and I,
2018,0,BRD,Herbert Grönemeyer,Warum,
2018,0,BRD,JS Bach,Jesus meine Freude,1
2019,0,SWE,Rigmor Gustafsson,Let it go,
2019,0,BRD,Richard Wagner,Gesegnet soll sie schreiten (Lohengrin),
2019,0,BRD,Herbert Grönemeyer,Sekundenglück,
2019,0,NOR,Tord Gustavsen,Winters Broken,
2019,0,USA,Abbey Lincoln,Throw It Away,
2019,0,USA,Sara Groves,Different Kinds of Happy,
2019,0,AUT,Rainhard Fendrich,Tote Dichter,
2019,0,BRD,Maybebop,Ab und zu ein paar Geigen,
2020,0,GBR,Jamie Cullum,The Place Where Lost Things Go,
2020,0,NOR,Inger Marie Gundersen,When All Is Said and Done,
2020,0,CAN,Stephen Fearing,Every Souls a Sailor,
2020,0,USA,Chris Wenner,Losing Hold,
2020,0,CMR,Richard Bona,Matanga,
2020,0,BRD,JS Bach,Goldberg Variations,2
2021,0,BRD,Annett Louisan,Gekommen um zu sagen,
2021,0,GBR,Mike Batt,Lady of the Dawn,
2021,0,BRD,Georg Ringsgwandl,Jünger innen drin,
2021,0,JAP,Hiromi Uehara,Seeker,
2021,0,BRD,Annett Louisan,Wenn man sich nicht mehr liebt,
2021,0,ITA,Rondo Veneziano,Carrousel,
2021,0,CAN,Saffie,Silent Night,
2022,0,AUT,STS,Es kumt wieda a Summa,
2022,0,AUT,Ernst Molden und Willi Resetarits,Triest,
2022,0,BRD,Maybebop,Lied vom Nicht-Verstehen,
2022,0,FRA,Gerard Lenorman,Voice les cles,
2022,0,NOR,Daniel Herskedal,Time of Water,
