OrgDefinedId,Term Test A Points Grade <Numeric MaxPoints:100 Weight:22>,End-of-Line Indicator
#A00746035,83,#
#A00913638,76,#
#A00940835,54,#
#A00948844,28,#
#A01006494,56,#
#A01030381,62,#
#A01058341,56,#
#A01073920,74,#
#A01159131,54,#
#A01178066,52,#
#A01186114,42,#
#A01191808,62,#
#A01217376,86,#
#A01226824,50,#
#A01248193,68,#
#A01248771,96,#
#A01255181,50,#
#A01256902,81,#
#A01258024,74,#
#A01259742,54,#
#A01268383,84,#
#A01268816,48,#
#A01272941,76,#
#A01276339,52,#
#A01280488,80,#
#A01281182,60,#
#A01281200,60,#
#A01282057,94,#
#A01295865,74,#
#A01298718,60,#
