OrgDefinedId,Lab Reports Points Grade <Numeric MaxPoints:100 Weight:18>,End-of-Line Indicator
#A00746035,93.8,#
#A00913638,99.5,#
#A00940835,98.1,#
#A00948844,99.2,#
#A01006494,97.0,#
#A01030381,98.6,#
#A01058341,83.9,#
#A01073920,82.0,#
#A01159131,96.5,#
#A01178066,99.3,#
#A01191808,99.9,#
#A01217376,88.2,#
#A01226824,98.6,#
#A01248193,97.9,#
#A01248771,100.0,#
#A01255181,99.9,#
#A01256902,97.8,#
#A01258024,100.0,#
#A01259742,99.6,#
#A01268383,59.2,#
#A01268816,66.1,#
#A01272941,96.1,#
#A01276339,96.8,#
#A01280488,100.0,#
#A01281182,93.7,#
#A01281200,99.1,#
#A01282057,100.0,#
#A01295865,67.7,#
#A01298718,99.1,#
