OrgDefinedId,Term Test B Points Grade <Numeric MaxPoints:100 Weight:22>,End-of-Line Indicator
#A00746035,76.67,#
#A00913638,73.33,#
#A00940835,81.67,#
#A00948844,71.67,#
#A01006494,60.83,#
#A01030381,93.33,#
#A01058341,40.0,#
#A01073920,50.0,#
#A01159131,65.83,#
#A01178066,45.0,#
#A01191808,65.0,#
#A01217376,75.0,#
#A01226824,75.0,#
#A01248193,70.83,#
#A01248771,86.67,#
#A01255181,81.67,#
#A01256902,95.0,#
#A01258024,63.33,#
#A01259742,86.67,#
#A01268383,63.33,#
#A01268816,73.33,#
#A01272941,66.67,#
#A01276339,65.0,#
#A01280488,91.67,#
#A01281182,58.33,#
#A01281200,65.0,#
#A01282057,90.83,#
#A01295865,75.83,#
#A01298718,82.5,#
