sdc,MATH-4620_202310_totals01.csv,MATH-4620_202310_totals02.csv,MATH-4620_202310_totals03.csv,MATH-4620_202310_totals04.csv,MATH-4620_202310_totals05.csv,MATH-4620_202310_totals06.csv,MATH-4620_202310_totals07.csv,MATH-4620_202310_totals08.csv,MATH-4620_202310_totals09.csv,MATH-4620_202310_totals10.csv,MATH-4620_202310_totals11.csv,MATH-4620_202310_totals12.csv
173436,86.67,94.74,100,100,92.11,100,98.33,100,94.74,100,100,97.92
231823,83.33,61.42,70.59,47.37,36.84,69.42,100,100,52,68.18,93.91,29.17
276436,96.67,97.68,100,100,94.74,91.67,93.33,0,0,0,0,0
333934,100,100,100,100,100,100,100,100,100,95.45,100,100
342173,100,100,100,100,100,100,100,100,100,100,100,100
346340,95,97.37,100,93.42,94.74,91.67,96.67,100,88.84,100,100,100
396939,100,100,100,100,100,100,100,100,100,100,100,100
411838,100,100,100,98.68,100,100,100,100,100,100,100,100
452239,97.77,100,98.29,100,100,100,100,100,98.68,95.45,100,100
452314,100,100,100,100,100,100,100,100,93.42,95.45,100,100
490422,100,100,100,100,94.11,100,100,100,100,100,100,100
501429,100,100,100,100,92.11,91.67,100,100,100,100,100,100
528152,96.67,100,94.12,100,86.84,100,96.67,100,78.32,100,100,100
535003,100,100,100,100,94.74,100,100,88.89,100,100,100,100
569912,100,100,100,100,90.79,91.67,100,100,95.42,100,100,97.25
573124,83.33,63.16,82.35,31.58,77.21,100,99.2,100,94.74,90.91,84.27,100
586136,100,100,100,100,94.74,100,100,100,94.74,100,100,100
634754,90,94.74,76.47,68.42,60.53,66.67,44.2,98.78,0,18.18,75.73,16.67
675465,100,94.74,100,97.37,63.16,83.33,86.27,77.78,8.58,100,98.18,74.33
705414,97.77,94.74,100,94.74,92.11,100,100,100,94.74,100,100,100
723791,43.33,26.32,5.88,68.42,66.68,100,86.67,100,0,95.45,100,100
760175,100,100,100,100,100,100,100,100,100,100,100,100
808123,100,97.68,100,100,89.47,100,100,100,90.79,100,100,83.33
836795,93.33,100,76.47,100,94.74,58.33,93.33,88.89,62.53,100,90.91,100
848783,100,100,100,92.11,100,100,100,100,99.37,100,100,100
865118,98.9,100,100,100,100,100,100,100,99.37,100,100,100
892714,100,100,100,100,94.74,87.5,100,100,95.42,100,100,100
919363,93.33,84.21,94.12,84.21,73.68,100,100,100,95.42,100,100,100
969913,100,100,100,100,100,100,100,100,100,100,100,100
983878,100,100,100,100,98.68,100,100,100,100,100,27.27,100
